pipeline_id,chunking,pre_retrieval,retrieval,index_structure,post_retrieval,question_id,hit_rate_at_5,recall_at_5,mrr_at_5,ndcg_at_5
P_fixed_512_query_rewrite_sparse_bm25_parent_document_none,fixed_512,query_rewrite,sparse_bm25,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_hybrid_rrf_parent_document_none,fixed_512,query_rewrite,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_sparse_bm25_parent_document_none,fixed_512,none,sparse_bm25,parent_document,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_query_rewrite_dense_cosine_parent_document_none,fixed_512,query_rewrite,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_dense_cosine_parent_document_none,fixed_512,none,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_sparse_bm25_flat_none,fixed_512,none,sparse_bm25,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_query_rewrite_sparse_bm25_flat_cross_encoder_rerank,fixed_512,query_rewrite,sparse_bm25,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_sparse_bm25_parent_document_cross_encoder_rerank,fixed_512,none,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_query_rewrite_sparse_bm25_flat_none,fixed_512,query_rewrite,sparse_bm25,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_sparse_bm25_flat_cross_encoder_rerank,fixed_512,none,sparse_bm25,flat,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_none_dense_cosine_parent_document_cross_encoder_rerank,fixed_512,none,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_hybrid_rrf_parent_document_none,fixed_512,none,hybrid_rrf,parent_document,none,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_fixed_512_hyde_dense_cosine_parent_document_none,fixed_512,hyde,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_sparse_bm25_parent_document_cross_encoder_rerank,fixed_512,query_rewrite,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_none,fixed_1024,none,sparse_bm25,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_none_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_512,none,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_query_rewrite_dense_cosine_parent_document_cross_encoder_rerank,fixed_512,query_rewrite,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_hybrid_rrf_parent_document_none,fixed_512,hyde,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_dense_cosine_parent_document_none,fixed_1024,none,dense_cosine,parent_document,none,qst_0011,1.0,1.0,0.25,0.43067655807339306
P_fixed_1024_none_sparse_bm25_parent_document_none,fixed_1024,none,sparse_bm25,parent_document,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_hyde_dense_cosine_parent_document_cross_encoder_rerank,fixed_512,hyde,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_512,query_rewrite,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_cross_encoder_rerank,fixed_1024,none,sparse_bm25,flat,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_512_hyde_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_512,hyde,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_parent_document_cross_encoder_rerank,fixed_1024,none,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_none_hybrid_rrf_parent_document_none,fixed_1024,none,hybrid_rrf,parent_document,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_none_dense_cosine_parent_document_cross_encoder_rerank,fixed_1024,none,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_dense_cosine_parent_document_none,fixed_1024,query_rewrite,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_1024,none,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_sparse_bm25_flat_none,fixed_1024,query_rewrite,sparse_bm25,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_sparse_bm25_flat_contextual_compression,fixed_512,query_rewrite,sparse_bm25,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_sparse_bm25_flat_contextual_compression,fixed_512,none,sparse_bm25,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_sparse_bm25_parent_document_none,fixed_1024,query_rewrite,sparse_bm25,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_query_rewrite_dense_cosine_parent_document_cross_encoder_rerank,fixed_1024,query_rewrite,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_query_rewrite_sparse_bm25_flat_cross_encoder_rerank,fixed_1024,query_rewrite,sparse_bm25,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_query_rewrite_sparse_bm25_parent_document_cross_encoder_rerank,fixed_1024,query_rewrite,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,fixed_1024,none,sparse_bm25,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_hybrid_rrf_parent_document_none,fixed_1024,query_rewrite,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_hybrid_rrf_flat_none,fixed_512,none,hybrid_rrf,flat,none,qst_0011,1.0,1.0,1.0,1.0
