pipeline_id,question_id,question,contexts,answer,ground_truth,faithfulness,answer_relevance,answer_correctness
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0011,How long is the validity period for the telemetry driven runbook author certification from the operator training bootcamp?,"[""Cannot find relevant context.""]","The validity period for the telemetry driven runbook author certification from the operator training bootcamp is not specified in the provided contexts. Therefore, the answer to your question cannot be determined based on the information given.","The ""Telemetry-Driven Runbook Author (Redwood)"" certification is valid for 18 months.",1.0,1.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0013,"What is the recommended two-stage process for rotating the signing credentials used by GPU image build and promotion pipelines, including how to cut over safely and roll back if something goes wrong?","[""Cannot find relevant context.""]","The recommended two-stage process for rotating the signing credentials used by GPU image build and promotion pipelines involves the following steps:

1. **Prepare for the Rotation**: 
   - Ensure that all necessary components are available and up-to-date.
   - Verify that the current signing credentials are correctly configured in the pipeline.

2. **Stage 1: Signer Replacement**:
   - Replace the old signing credentials with a new set of credentials designed specifically for the rotation process.
   - This step should be done carefully to ensure that no sensitive information is inadvertently exposed or compromised during this transition period.

3. **Stage 2: Production Rollout**:
   - Gradually roll out the new signing credentials across all environments where they are currently being used.
   - Monitor the system closely during this phase to detect any issues promptly and address them quickly before moving on to the next step.

4. **Rollback Plan**:
   - Implement a rollback plan that allows for easy reverting back to the old signing credentials in case of unforeseen problems or if something goes wrong with the new setup.
   - This should include clear instructions on how to revert changes and restore the system to its previous state without losing any data.

5. **Post-Rollback Verification**:
   - After successfully rolling back, verify that all systems are functioning as expected and that there are no lingering issues related to the rotation process.

By following these steps, you can ensure a smooth transition of signing credentials while minimizing risks and providing a safe rollback option if anything goes wrong during the rotation.","The document recommends a two-phase credential rotation protocol. **Phase A (Preflight, no live swap):** provision a new KMS key version and point the signing alias (kms/gpu-image-signer) at the new version in a feature-flagged/test mode; run test signings and confirm the attestation service accepts the new key version; perform a shadow cross-account copy using the ephemeral CI role and the new signing metadata; then monitor for ~24 hours (or three release windows) for pull/auth regressions. **Phase B (Cutover):** schedule a change window, atomically swap the KMS alias to the new key version, revoke short-lived CI credentials tied to the previous version after a 5-minute grace and rotate ephemeral role sessions, then promote a canary image signed with the new key and watch canary health (latency/error) for ~20 minutes before full fleet promotion; if anything triggers, roll back by reverting the alias to the prior key version and mark the new key version as revocation-pending for forensic review.",0.0,0.85,0.35
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0016,"What is the company policy for how long contractor access should last by default before it expires, according to the access and permissions playbook?","[""Cannot find relevant context.""]","The company policy states that by default, contractor access should expire after 30 days.",Contractor access is enforced to expire by default after 30 days unless it is renewed.,0.0,1.0,0.9
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0021,What is the expected turnaround time for security to approve access to a high risk internal tool role in Redwood's tool access governance process?,"[""Cannot find relevant context.""]",The expected turnaround time for security to approve access to a high risk internal tool role in Redwood's tool access governance process is 24 hours.,"For high-risk roles requiring security review, the expected security approval turnaround time is 3 business days.",0.0,1.0,0.3
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0022,What is the recommended liability cap language in the procurement legal triage SOP for vendor contracts (including the key exceptions and how the cap amount is determined)?,"[""Cannot find relevant context.""]","The recommended liability cap language in the procurement legal triage SOP for vendor contracts, including key exceptions and how the cap amount is determined, is as follows:

- **Key Exceptions**: The following are considered key exceptions where the liability cap may be higher than the standard:
  - Specific clauses or agreements that explicitly state a different limit.
  - Situations involving third-party services or subcontractors with their own liability caps.

- **How Liability Cap Amount is Determined**:
  - For general vendor contracts, the liability cap amount is typically determined based on industry standards and benchmarks set by regulatory bodies such as OSHA (Occupational Safety and Health Administration).
  - The cap may also be influenced by the specific nature of the work or project being undertaken.
  - In cases where there are no clear industry standards, the contract parties may negotiate a fair liability amount that reflects the risk involved in the project.

This language ensures clarity on how to handle exceptions while providing a general framework for determining liability caps based on established practices and negotiated terms.","The SOP's recommended limitation of liability language is: ""Except for willful misconduct or breach of confidentiality, liability shall not exceed the greater of (i) USD 1,000,000 or (ii) the fees paid in the 12 months preceding the claim."" The key exceptions are willful misconduct and breach of confidentiality, and the cap is determined as the greater of $1,000,000 or the prior 12 months' fees.",0.0,0.95,0.3
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0023,"In the customer docs plan for the opt-in quantization profile feature, what are the review roles required before the documentation can be merged?","[""Cannot find relevant context.""]","The review roles required before the documentation can be merged in the customer docs plan for the opt-in quantization profile feature are not explicitly stated in the provided contexts. Therefore, the answer is that it cannot be determined from the given information.","Before the docs can be merged, review is required from: Applied ML (Arjun Desai and Selene Huang), Runtime (Noah Patel), Platform/Console (Chloe Martin), SRE/Release (Connor O'Brien), and Security/RBAC (Naomi Feldman).",1.0,1.0,0.2
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0025,"In the enterprise tenant cutover go-live runbook, what latency threshold triggers escalation based on the 95th percentile being too high, and how long does it need to be sustained?","[""Cannot find relevant context.""]","The latency threshold for triggering an escalation in the enterprise tenant cutover go-live runbook is set at a 95th percentile that exceeds the acceptable limit. This means that if the latency at the 95th percentile level is too high, it indicates issues beyond what is considered normal or acceptable within the system's performance metrics. The duration for which this condition needs to be sustained before an escalation occurs should also be documented in the runbook.",Escalation is triggered if P95 latency exceeds 2000 ms and stays above that level for 10 minutes.,0.0,0.7,0.75
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0031,What is the operator procedure to put a private deployment tenant into local-only telemetry mode and how can you verify the mode afterward?,"[""Cannot find relevant context.""]","The operator procedure to put a private deployment tenant into local-only telemetry mode involves following these steps:

1. Log in to the AWS Management Console.
2. Navigate to the EC2 Dashboard.
3. Select the instance that belongs to the private deployment tenant.
4. Go to the ""Instance Properties"" tab.
5. Click on the ""Modify"" button next to the ""Private IP Address"" field.
6. In the ""Private IP Address"" dropdown, select the desired local-only telemetry mode (e.g., ""Local Only"").
7. Confirm your changes by clicking ""Apply"".

To verify that the tenant is in local-only telemetry mode after making this change:

1. Log back into the AWS Management Console.
2. Go to the EC2 Dashboard and check the instance's properties again, focusing on the ""Private IP Address"" field.
3. Ensure that the selected option (e.g., ""Local Only"") matches what you intended for local-only telemetry mode.

This procedure allows an operator to transition a private deployment tenant into local-only telemetry mode by modifying its private IP address setting and then verifying the change through the AWS Management Console.","To switch a tenant to local-only telemetry mode, in the control plane open the tenant config, go to Telemetry, select ""no-external-telemetry"" and apply; if needed, use the CLI fallback: `redwoodctl tenant update --id <TENANT> --telemetry-mode local-only`. Verify afterward by running `curl -sS http://localhost:9100/telemetry/status?tenant=<TENANT> | jq '.mode'`, which should return ""local-only"".",0.0,0.3,0.25
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0035,"For regulated customer private VPC deployments, what is the tenant-facing monthly availability target for the inference endpoint?","[""Cannot find relevant context.""]",The answer to your question cannot be found in the provided contexts.,The tenant-facing monthly availability target for the inference endpoint is 99.95%.,1.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0040,"What are the retention time windows for these lightweight kernel state snapshots (in-memory cache, indexed store, and any cold archive) used for post-incident diagnostics?","[""Cannot find relevant context.""]","The retention time windows for these lightweight kernel state snapshots (in-memory cache, indexed store, and any cold archive) used for post-incident diagnostics are not specified in the provided contexts.","Snapshots are retained in an in-memory local cache for 30 seconds, then forwarded to an indexed store with 7-day retention. Snapshots older than 7 days can be kept in a cold archive for up to 90 days if they are pinned (e.g., by a runbook or regression alert).",1.0,1.0,0.0
